progress,invariant1,invariant2,invariant3
9.232857706028770872e-01,1.337987908412624938e+00,1.472150769635820211e+01,3.058471267126977367e+00
9.317095558234897990e-01,1.336212550402412491e+00,1.315419431668400918e+01,3.848082279133164807e+00
9.406637402675658288e-01,1.340914800572147403e+00,1.154031333449069407e+01,4.574753958357400840e+00
9.496650814021033726e-01,1.338237745438997983e+00,1.001335494692740902e+01,5.173313436548999888e+00
9.584749328639095012e-01,1.332030164650638060e+00,8.659489823859621183e+00,5.591767948107611019e+00
9.677628937162050526e-01,1.322142679297132029e+00,7.508360485730976031e+00,5.795769062353134160e+00
9.772132032747037345e-01,1.299765183411507818e+00,6.530693114382236431e+00,5.769757835046595673e+00
9.866082763327549410e-01,1.294842424104517997e+00,5.647648686698565790e+00,5.515724322955050773e+00
9.965907691202584573e-01,1.301295723538300031e+00,4.779084663203233774e+00,5.050171836248241952e+00
1.006621831512787280e+00,1.311324540288870910e+00,3.897463600285740792e+00,4.399904736430856111e+00
1.016467325702776092e+00,1.317884881571241174e+00,3.036040477492216727e+00,3.597180232017599177e+00
1.026039033178621329e+00,1.317430517071127793e+00,2.265224182709157041e+00,2.674793878415949955e+00
1.034965199633244959e+00,1.323035035599022136e+00,1.671705141530099192e+00,1.662069356192989122e+00
1.044220873105355940e+00,1.322979573662151687e+00,1.328289878883803121e+00,5.828938474138996018e-01
1.053066341447204568e+00,1.320909265793938303e+00,1.263882465255946830e+00,-5.438302418279264971e-01
1.061849722077568892e+00,1.320624018109200604e+00,1.457989801011189135e+00,-1.701997717240777419e+00
1.070447663731581844e+00,1.316757993165847740e+00,1.856313005149899054e+00,-2.875679716582215217e+00
1.079045659480005304e+00,1.314869716647566689e+00,2.391019202742597383e+00,-4.047315725068139969e+00
1.088037034980508633e+00,1.317306133536908508e+00,3.003490634641464485e+00,-5.197265938518579986e+00
1.096562727131221715e+00,1.319975734721587024e+00,3.662119128228443543e+00,-6.304497761514536336e+00
1.105311865204025690e+00,1.322737839754643874e+00,4.351169846427924703e+00,-7.347848571963793596e+00
1.114573460575590147e+00,1.317096443171789311e+00,5.041923588823173041e+00,-8.307331333099087445e+00
1.124038150154500704e+00,1.314913451321729765e+00,5.684743258906204133e+00,-9.165189158193872032e+00
1.133749981858937161e+00,1.315455066194984424e+00,6.230784622939730788e+00,-9.907013146572424489e+00
1.143994711855021773e+00,1.321320433241468528e+00,6.646396026342430652e+00,-1.052292583388241809e+01
1.153861572369110133e+00,1.314720959013014889e+00,6.899016622998417780e+00,-1.100786455157152943e+01
1.163694518442719872e+00,1.305671466048148988e+00,6.942257099014222277e+00,-1.136049317438966000e+01
1.172941348875400802e+00,1.303859749956834069e+00,6.733659248994988467e+00,-1.158113778010545225e+01
1.181817312386813645e+00,1.306658731810733443e+00,6.266558744975410988e+00,-1.167051921699287043e+01
1.190752322025446786e+00,1.316840727435143465e+00,5.585574084595411826e+00,-1.163047011365465266e+01
1.199499833327160259e+00,1.319452784968638381e+00,4.769675109606858143e+00,-1.146592451299888182e+01
1.208061130481794754e+00,1.320367443103823035e+00,3.905497522962498635e+00,-1.118587760507640994e+01
1.216336985575451557e+00,1.321307553660201251e+00,3.080281608559571449e+00,-1.080300324893421404e+01
1.224391538981011163e+00,1.320513798464234778e+00,2.377213236519372330e+00,-1.033246110429317532e+01
1.231833766475623149e+00,1.318982999730206052e+00,1.864708598025621278e+00,-9.790527573579566933e+00
1.238545010667271074e+00,1.318707010787210310e+00,1.585336896349477165e+00,-9.193558518169275828e+00
1.244636582448516826e+00,1.320100058929918996e+00,1.546440214583525652e+00,-8.557783906125498774e+00
1.250190393365417707e+00,1.322184956746442541e+00,1.718774090350253747e+00,-7.900095335862913792e+00
1.255592939251752194e+00,1.322388026743156919e+00,2.045545157443565021e+00,-7.239334113828297390e+00
1.261292400584541173e+00,1.321054933839503231e+00,2.453628983377550643e+00,-6.597069183987957608e+00
1.266963381201790195e+00,1.320676023722296533e+00,2.864210770840875941e+00,-5.996929365932766487e+00
1.272658719078661571e+00,1.316784099421378862e+00,3.203598598840438960e+00,-5.462219473581282791e+00
1.278340424576196233e+00,1.308795766422466977e+00,3.415016704253161617e+00,-5.012378736454898842e+00
1.283362630071414046e+00,1.308750067933631023e+00,3.477075054628444573e+00,-4.659318890927135470e+00
1.287706988461413848e+00,1.314300139981698479e+00,3.409680953785586333e+00,-4.404990712589494706e+00
1.291753450087134825e+00,1.319880379116418645e+00,3.264045627857912635e+00,-4.241396493832353620e+00
1.295285517570390121e+00,1.323601074773483210e+00,3.111802333044227264e+00,-4.152960354115104558e+00
1.298429458819658766e+00,1.321312346443175745e+00,3.026230752638497279e+00,-4.120069938179113933e+00
1.301406868452400944e+00,1.301744021505142790e+00,3.055358363376643904e+00,-4.122486453822576280e+00
1.304136348384349775e+00,1.306650102213744447e+00,3.198623213644958163e+00,-4.142076869710424880e+00
1.306839984491306561e+00,1.308287298170718982e+00,3.410034290581999805e+00,-4.164893407861075758e+00
1.309019519467136572e+00,1.306810961831008422e+00,3.624515255404677117e+00,-4.182378127748883401e+00
1.310496532999303687e+00,1.309261645052467227e+00,3.782715378946145179e+00,-4.191651173664295627e+00
1.311528590750890011e+00,1.285375262430490162e+00,3.859856451003894851e+00,-4.194448251584191212e+00
1.312333592943209615e+00,1.171373726354463463e+00,3.878382893378014895e+00,-4.194513470373250286e+00
1.312751305318959893e+00,1.171373726354463463e+00,3.878382893378014895e+00,-4.194513470373250286e+00
